commit_hash	author_name	author_email	date	repo	message
178d72fa19a2a85bfa8680e75ccd8d6583e45b47	Jordan Reyes	jreyes@heliouscloud.io	2018-09-01T15:38:16Z	thanos-setup	feat: add prometheus job for helios-gateway
c9b7673b61f2dc268731c4931ce237d6aff2dd69	Jordan Reyes	jreyes@heliouscloud.io	2018-09-09T10:00:45Z	slo-tracker	fix: correct alert label for env selector
d6a5470e5cf9af107588616af812d0a1939ca355	Jordan Reyes	jreyes@heliouscloud.io	2018-09-14T16:07:14Z	thanos-setup	chore: update grafana dashboard panel configuration
2562d80a64f74c7ffa22a5df3d4f72c6b026c298	Jordan Reyes	jreyes@heliouscloud.io	2018-09-21T13:47:31Z	grafana-dashboards	docs: add comments to thanos configuration
e95d35a7b563edd31a45d4c38693b5debac2668f	Jordan Reyes	jreyes@heliouscloud.io	2018-09-28T12:52:18Z	prometheus-config	refactor: extract common alert helper macros
937f1731e8d0170d7a96c9d12c7374e8876a4295	Jordan Reyes	jreyes@heliouscloud.io	2018-09-23T11:26:50Z	thanos-setup	feat: add SLO tracking for checkout-api
4fa01c3c27984059eb03b57d8ebeca595fd8b8d1	Jordan Reyes	jreyes@heliouscloud.io	2018-10-01T16:58:15Z	prometheus-config	fix: resolve incorrect retention period in thanos config
cad27bc4d4c606091f7ca4e44d80cb89c6e765c8	Jordan Reyes	jreyes@heliouscloud.io	2018-10-04T16:05:00Z	alert-rules-v1	chore: update prometheus scrape intervals
7c190a512b2679c6cddbc7f86935cc903a0c87f9	Jordan Reyes	jreyes@heliouscloud.io	2018-10-11T12:45:24Z	thanos-setup	docs: document alert routing configuration
c40602b0291c1b7014de3b98c088528f534a3551	Jordan Reyes	jreyes@heliouscloud.io	2018-10-11T13:04:06Z	slo-tracker	feat: add grafana annotation for deployment events
27cf4920b83df55568e9cc1268038876ba8d9116	Jordan Reyes	jreyes@heliouscloud.io	2018-10-15T16:58:22Z	prometheus-config	feat: add prometheus job for helios-gateway
9b693722d45f12304416bb9435ec56c02522ba8d	Jordan Reyes	jreyes@heliouscloud.io	2018-10-26T09:00:16Z	slo-tracker	fix: correct alert label for env selector
133c8ae439e9af1d53991c7d6cec5f376677ec8b	Jordan Reyes	jreyes@heliouscloud.io	2018-10-23T15:42:23Z	grafana-dashboards	chore: update grafana dashboard panel configuration
15c416fa682eeda380e71f408602b2bafeffefaa	Jordan Reyes	jreyes@heliouscloud.io	2018-10-24T11:16:10Z	helios-internal-infra	docs: add comments to thanos configuration
14ebb2bc87b404383fea9712f2fc051e16996003	Jordan Reyes	jreyes@heliouscloud.io	2018-10-30T10:20:45Z	prometheus-config	refactor: extract common alert helper macros
40b5c4a2a917647b663938cc39065f49c171a427	Jordan Reyes	jreyes@heliouscloud.io	2018-10-28T10:20:02Z	grafana-dashboards	feat: add SLO tracking for checkout-api
74a0c3e965ebb0abf85296e50fc468ec85fe0b6e	Jordan Reyes	jreyes@heliouscloud.io	2018-11-09T14:59:27Z	grafana-dashboards	fix: resolve incorrect retention period in thanos config
470b7b7196fdff1b33514cce00b434276a3ef1c0	Jordan Reyes	jreyes@heliouscloud.io	2018-11-05T13:33:20Z	slo-tracker	chore: update prometheus scrape intervals
05b322f6f0d69e4ad80fd4e085bb84a374e09de6	Jordan Reyes	jreyes@heliouscloud.io	2018-11-12T16:48:09Z	alert-rules-v1	docs: document alert routing configuration
231fea66c76f8ad5eb0db14d2212a65243db3c47	Jordan Reyes	jreyes@heliouscloud.io	2018-11-22T09:12:09Z	thanos-setup	feat: add grafana annotation for deployment events
cd7ce33c4f2ed031528a17d43cfec8d4da970ecf	Jordan Reyes	jreyes@heliouscloud.io	2018-11-18T16:16:10Z	helios-internal-infra	feat: add prometheus job for helios-gateway
20ce5b3272c4edac631d1db68dedc38c270403aa	Jordan Reyes	jreyes@heliouscloud.io	2018-11-20T16:02:28Z	helios-internal-infra	fix: correct alert label for env selector
