emp_id,full_name,job_title,dept_code,grade_level,years_of_service,fte_flag,pay_band,schedule_type
RGH-4091,Dennis Kim,Patient Services Coordinator,CARD-04,GN1,0,false,PB2,day
RGH-4059,Olivia Lewis,Supply Chain Aide,CARD-04,GN1,0,true,PB2,night
RGH-4086,Jerry Wright,Documentation Specialist,CARD-05,GN1,3,true,PB1,night
RGH-4069,Joyce White,Pharmacy Liaison,CARD-04,GN2,3,true,PB2,rotating
RGH-4070,Jason Wilson,Transport Aide,CARD-04,GN2,5,false,PB1,night
RGH-4024,Deborah Hill,CICU RN,CARD-03,GN5,6,true,PB4,night
RGH-4228,Jason Moreau,"Administrative Coordinator, Cardiology",CARD-04,GN2,6,true,PB1,rotating
RGH-4124,Nicholas Garcia,Scheduling Coordinator,CARD-05,GN2,3,true,PB3,day
RGH-4130,Henry Bernard,Medical Records Specialist,CARD-05,GN1,2,true,PB2,rotating
RGH-4137,Rebecca King,Medical Records Specialist,CARD-05,GN1,3,false,PB3,rotating
RGH-4015,Robert Scott,EP Physician,CARD-02,GN5,9,true,PB3,rotating
RGH-4250,Maria Carter,Scheduling Coordinator,CARD-05,GN2,7,true,PB1,day
RGH-4005,Shirley Baker,Echo Tech,CARD-06,GN3,14,true,PB5,day
RGH-4016,Michael Moreau,Device Specialist — EP,CARD-02,GN3,10,true,PB4,rotating
RGH-4080,Joshua Nguyen,Scheduling Coordinator,CARD-05,GN2,3,false,PB1,night
RGH-4159,Heather Harris,Pharmacy Liaison,CARD-04,GN2,7,true,PB2,rotating
RGH-4214,Brian Clark,Pharmacy Liaison,CARD-04,GN1,0,false,PB1,day
RGH-4194,Ryan Miller,Patient Services Coordinator,CARD-04,GN2,6,false,PB3,rotating
RGH-4098,Elizabeth Osei,Transport Aide,CARD-04,GN2,6,false,PB2,night
RGH-4053,Henry Lopez,Transport Aide,CARD-04,GN2,2,false,PB2,day
RGH-4163,Timothy Osei,"Administrative Coordinator, Cardiology",CARD-04,GN1,2,true,PB3,rotating
RGH-4046,Ashley Moore,Supply Chain Aide,CARD-04,GN2,1,true,PB3,day
RGH-4109,Maria Rodriguez,IT Support Technician,CARD-05,GN1,3,false,PB3,rotating
RGH-4155,Brandon Sanchez,IT Support Technician,CARD-05,GN1,2,false,PB1,night
RGH-4028,Kevin Clark,Monitoring Tech — Cardiology,CARD-03,GN3,1,true,PB5,rotating
RGH-4179,Scott Torres,Scheduling Coordinator,CARD-05,GN2,7,false,PB1,night
RGH-4042,Stephen Laurent,EP Physician,CARD-02,GN5,4,true,PB5,day
RGH-4061,Sharon Green,Documentation Specialist,CARD-05,GN1,0,false,PB3,night
RGH-4180,George Garcia,Patient Services Coordinator,CARD-04,GN2,1,false,PB2,night
RGH-4166,Henry Roberts,EVS Tech — Cardiac,CARD-04,GN2,3,false,PB1,rotating
RGH-4204,Frank Anderson,Transport Aide,CARD-04,GN1,0,true,PB3,night
RGH-4253,Thomas Lopez,Transport Aide,CARD-04,GN1,1,false,PB1,night
RGH-4007,Mark Jackson,Echo Tech,CARD-06,GN4,14,true,PB4,day
RGH-4147,Maria Bernard,Scheduling Coordinator,CARD-05,GN1,2,true,PB3,rotating
RGH-4153,Ronald Harris,Documentation Specialist,CARD-05,GN2,7,true,PB1,rotating
RGH-4076,Debra Lee,Scheduling Coordinator,CARD-05,GN1,4,true,PB2,night
RGH-4129,Justin Lee,EVS Tech — Cardiac,CARD-04,GN2,7,false,PB1,day
RGH-4181,Ryan Hernandez,Transport Aide,CARD-04,GN2,3,true,PB2,night
RGH-4123,Joyce Nkosi,Patient Services Coordinator,CARD-04,GN1,7,false,PB3,rotating
RGH-4117,Donald Walker,Transport Aide,CARD-04,GN2,0,false,PB1,rotating
RGH-4210,Frank Lim,Patient Services Coordinator,CARD-04,GN1,0,false,PB2,night
RGH-4231,Catherine Sanchez,Pharmacy Liaison,CARD-04,GN2,0,false,PB3,night
RGH-4243,Ruth Chen,Documentation Specialist,CARD-05,GN2,6,true,PB1,day
RGH-4140,Joseph Sanchez,Scheduling Coordinator,CARD-05,GN1,0,false,PB2,day
RGH-4066,Charles Thomas,Transport Aide,CARD-04,GN1,1,false,PB3,night
