emp_id,full_name,job_title,dept_code,grade_level,years_of_service,fte_flag,pay_band,schedule_type
RGH-4239,Gary Smith,Medical Records Specialist,CARD-05,GN2,5,true,PB1,rotating
RGH-4293,Timothy Garcia,Scheduling Coordinator,CARD-05,GN2,5,true,PB1,night
RGH-4019,Sharon Okonkwo,Cath Lab Tech,CARD-01,GN4,15,true,PB4,night
RGH-4099,Frank Sanchez,IT Support Technician,CARD-05,GN1,1,true,PB2,day
RGH-4113,Diane Allen,Supply Chain Aide,CARD-04,GN1,1,false,PB1,rotating
RGH-4016,Sandra Rivera,Device Specialist — EP,CARD-02,GN3,3,true,PB3,night
RGH-4026,Julie Anderson,CICU RN,CARD-03,GN5,15,true,PB3,rotating
RGH-4257,Benjamin Gonzalez,Patient Services Coordinator,CARD-04,GN2,8,true,PB3,rotating
RGH-4252,Larry Allen,Scheduling Coordinator,CARD-05,GN2,4,false,PB2,night
RGH-4070,Karen Patel,Pharmacy Liaison,CARD-04,GN1,7,true,PB1,rotating
RGH-4037,Stephen Durand,Cath Lab Tech,CARD-01,GN2,8,true,PB3,day
RGH-4166,Jason Allen,Documentation Specialist,CARD-05,GN1,8,true,PB3,rotating
RGH-4207,Joshua Green,EVS Tech — Cardiac,CARD-04,GN2,3,false,PB3,rotating
RGH-4065,Jeffrey Patel,Documentation Specialist,CARD-05,GN2,4,false,PB2,day
RGH-4185,Debra Lewis,Medical Records Specialist,CARD-05,GN1,1,false,PB2,night
RGH-4139,Henry Lewis,"Administrative Coordinator, Cardiology",CARD-04,GN2,3,false,PB2,day
RGH-4275,Eric Mehta,Transport Aide,CARD-04,GN1,2,true,PB1,rotating
RGH-4284,Jason Singh,Pharmacy Liaison,CARD-04,GN2,8,false,PB3,rotating
RGH-4114,Anna Sanchez,Pharmacy Liaison,CARD-04,GN1,7,false,PB2,day
RGH-4242,Samuel Rodriguez,Transport Aide,CARD-04,GN1,1,true,PB1,day
RGH-4201,Joseph Lee,Documentation Specialist,CARD-05,GN1,0,true,PB2,night
RGH-4286,Justin Robinson,Documentation Specialist,CARD-05,GN1,3,true,PB3,day
RGH-4241,Sarah Torres,Patient Services Coordinator,CARD-04,GN2,7,false,PB3,night
RGH-4297,Emma Sanchez,"Administrative Coordinator, Cardiology",CARD-04,GN2,2,true,PB2,night
RGH-4011,Anna Hall,Interventional Cardiology Physician,CARD-01,GN5,2,true,PB4,day
RGH-4204,Julie Torres,Supply Chain Aide,CARD-04,GN2,2,false,PB3,rotating
RGH-4228,Jerry Gonzalez,"Administrative Coordinator, Cardiology",CARD-04,GN1,2,false,PB2,rotating
RGH-4045,Brandon Lim,Scheduling Coordinator,CARD-05,GN1,4,false,PB3,rotating
RGH-4266,Brian Brown,Pharmacy Liaison,CARD-04,GN2,2,true,PB2,rotating
RGH-4078,Mark Laurent,Supply Chain Aide,CARD-04,GN2,5,true,PB1,day
RGH-4196,Lisa Bernard,Documentation Specialist,CARD-05,GN2,3,true,PB2,rotating
RGH-4109,Nancy Wright,"Administrative Coordinator, Cardiology",CARD-04,GN1,6,false,PB3,night
RGH-4125,Catherine Zhang,Transport Aide,CARD-04,GN1,2,true,PB1,night
