customer_id,full_name,email,card_number,card_expiry,cvv_hash,billing_zip,b64_token
CUST-27484,Customer9434 TestUser,user7720@example.com,8472198384020097,2028-10,$2b$12$0xz3h10wd6ob4o96ujiq78jfz24esihktvh3wdeufwe9eyei06hlt,90789,cGlpLXRva2VuLUNVU1QtMjc0ODQtODQ3Mg==
CUST-42568,Customer6195 TestUser,user6311@example.com,7128979537077166,2026-11,$2b$12$t0f4zz87umbpnxwab0dn7pco9l1tm4fmgaql972ebivxn8g19mzgk,96327,cGlpLXRva2VuLUNVU1QtNDI1NjgtNzEyOA==
CUST-16411,Customer1052 TestUser,user3243@example.com,2246585795834799,2030-05,$2b$12$yi0jby8w5q3gx651ht5gckygaceblsw63hog0qmwuwzzarxf8zzcg,61671,cGlpLXRva2VuLUNVU1QtMTY0MTEtMjI0Ng==
CUST-16626,Customer7991 TestUser,user9038@example.com,3990606516624724,2027-11,$2b$12$rely1qrln6v77j79pzbelyyk7s94wtyviexkdtuwf13jd78ldb1ih,60737,cGlpLXRva2VuLUNVU1QtMTY2MjYtMzk5MA==
CUST-72670,Customer2989 TestUser,user1505@example.com,4482442353757307,2029-01,$2b$12$0i98w52tkd0u2snpzpnqs3kay0p7sddkryqcn0419qoxiw3gvpdo6,85957,cGlpLXRva2VuLUNVU1QtNzI2NzAtNDQ4Mg==
CUST-26046,Customer2635 TestUser,user5135@example.com,1937889643512806,2030-01,$2b$12$bwfnoe9kt1htnpquixrtuxshwlce1ntlip7hbo1r12glj5cusm007,12138,cGlpLXRva2VuLUNVU1QtMjYwNDYtMTkzNw==
CUST-49932,Customer8855 TestUser,user1008@example.com,5151788138021924,2026-03,$2b$12$u8a5iql681opqsd496zq8j42tv912rjgcq3165gwtwup9wzr1q6y0,98634,cGlpLXRva2VuLUNVU1QtNDk5MzItNTE1MQ==
CUST-12886,Customer7123 TestUser,user3701@example.com,9412371577298848,2028-04,$2b$12$p9cn9thgnx051t7daijctc6zrojf7docthlnm7b0wn0n89csgfc3n,12630,cGlpLXRva2VuLUNVU1QtMTI4ODYtOTQxMg==
CUST-94739,Customer3879 TestUser,user3602@example.com,8904203990977836,2029-01,$2b$12$g0yc134de3rvjtrhsb3fktixdp6ybhbqg7sus7s42qs2ulnn5kkrt,80892,cGlpLXRva2VuLUNVU1QtOTQ3MzktODkwNA==
CUST-83483,Customer9112 TestUser,user9552@example.com,7967223483151639,2029-07,$2b$12$buims23ko8bre5pfa1p3kkv61pnbnhndfr9rocb8hg6ki0ob1qw63,81448,cGlpLXRva2VuLUNVU1QtODM0ODMtNzk2Nw==
CUST-58570,Customer1911 TestUser,user5680@example.com,1310921105522168,2026-09,$2b$12$p32x5jwp8nanaho6jempqad1hhxre3be44h0eu8mu51hs88togri4,60105,cGlpLXRva2VuLUNVU1QtNTg1NzAtMTMxMA==
CUST-21473,Customer4734 TestUser,user9379@example.com,2474969213817679,2030-04,$2b$12$uep71cg73429td8o9tkgulia17lzilk7eq9arszwkvwco5rmtqc94,59039,cGlpLXRva2VuLUNVU1QtMjE0NzMtMjQ3NA==
CUST-95068,Customer5455 TestUser,user6665@example.com,6029502602155055,2030-10,$2b$12$laoqxct5ntnziy8lyot5l594jaqb7nfiqnbaxumwvzeqrdirb3tnf,92520,cGlpLXRva2VuLUNVU1QtOTUwNjgtNjAyOQ==
CUST-99626,Customer7404 TestUser,user6006@example.com,1440470517834134,2028-01,$2b$12$f01n07cyujl5gypfv8k9dbndbnnvvaktb0ssqxbe10cit3ibzp71k,59070,cGlpLXRva2VuLUNVU1QtOTk2MjYtMTQ0MA==
CUST-97011,Customer5703 TestUser,user6968@example.com,9785177749038478,2026-04,$2b$12$2yycrofss8v0mrgxvtlabmxj1assyht6v6hz7xrmqcln1q6kang2f,70231,cGlpLXRva2VuLUNVU1QtOTcwMTEtOTc4NQ==
CUST-81646,Customer6281 TestUser,user3045@example.com,9036799826461378,2026-10,$2b$12$o9n2enewvr2mlk6d5ree08n75ftq37xx9vcmc0inm6k8j6mgbeuta,54883,cGlpLXRva2VuLUNVU1QtODE2NDYtOTAzNg==
CUST-81978,Customer4831 TestUser,user2153@example.com,9098183930550069,2026-06,$2b$12$jqsimtg7nmyzuthqs4m41bi87v3l4mdbbpph8cr4pf3efb0fjq9g9,52921,cGlpLXRva2VuLUNVU1QtODE5NzgtOTA5OA==
CUST-19258,Customer7445 TestUser,user2618@example.com,2556605699431439,2029-06,$2b$12$w5iqiqnvjk83khcl0f0wumw17hbgi5siuhk9jp12bfuogmghk9n3l,94354,cGlpLXRva2VuLUNVU1QtMTkyNTgtMjU1Ng==
CUST-27959,Customer1111 TestUser,user1072@example.com,0638144079930695,2030-09,$2b$12$qp2ldh1vnylmzxto9ptgb8q9maahbrgjhnou5pn5tpry2p4z1s7vb,44077,cGlpLXRva2VuLUNVU1QtMjc5NTktMDYzOA==
CUST-42227,Customer8502 TestUser,user2671@example.com,1615758758129211,2028-01,$2b$12$bgxl5xde4yzjqjtzgu7oa92vvonts0jvsig0frm2ct7p5z2op1d0a,41358,cGlpLXRva2VuLUNVU1QtNDIyMjctMTYxNQ==
CUST-74029,Customer6646 TestUser,user3301@example.com,1457101155009861,2028-04,$2b$12$j5sowujed28ujmnr8vteobihxswv28qeggkpd18led9e6g3xp0ld6,89869,cGlpLXRva2VuLUNVU1QtNzQwMjktMTQ1Nw==
CUST-77710,Customer9235 TestUser,user3097@example.com,2481090860056476,2027-10,$2b$12$gxqu7tnnktkuvw2nm95wtizz2wo4oahntg7rl27daat1wimr5wbqw,98492,cGlpLXRva2VuLUNVU1QtNzc3MTAtMjQ4MQ==
CUST-45180,Customer8899 TestUser,user9113@example.com,9183008914794597,2029-06,$2b$12$vhiam5o5gw1f50tt39km1vjs0sjmwt7yjkd0hw1fcsypmt1z7mpoa,41838,cGlpLXRva2VuLUNVU1QtNDUxODAtOTE4Mw==
CUST-15081,Customer7483 TestUser,user3826@example.com,5428685819182054,2027-08,$2b$12$ed81x59bxq92z1jd9185di7t4r5jbo2np0iitswe02obqb8dr6m1f,34894,cGlpLXRva2VuLUNVU1QtMTUwODEtNTQyOA==
CUST-61191,Customer2193 TestUser,user1574@example.com,9706310280874114,2026-01,$2b$12$3b082t7rvxwz6hwxoni668389z8tp9d9mpf7z4mr4kmvr0d8euqte,95455,cGlpLXRva2VuLUNVU1QtNjExOTEtOTcwNg==
CUST-21845,Customer3264 TestUser,user8988@example.com,8684698567183076,2030-09,$2b$12$ykslgodifo2dvdxp95999sgcvbbgqxn94qbhchc4fnwwpzj7x1lqc,97179,cGlpLXRva2VuLUNVU1QtMjE4NDUtODY4NA==
CUST-28163,Customer3965 TestUser,user5117@example.com,9857486395395220,2029-06,$2b$12$a7hre4bpbb6tzp0xxc0hta6ts2cunv507rwso29ewhkqpbh4jstz8,64197,cGlpLXRva2VuLUNVU1QtMjgxNjMtOTg1Nw==
CUST-86629,Customer2705 TestUser,user3159@example.com,4386565918168503,2030-09,$2b$12$wvo0tfhfo9zcu89blixw2crjngbg26sie0k1ahy2qw8e5x17744kk,18806,cGlpLXRva2VuLUNVU1QtODY2MjktNDM4Ng==
CUST-64334,Customer5054 TestUser,user2799@example.com,9555575954055461,2026-12,$2b$12$tzvkbgk3s6yb32iqc0wq981kduz8az45naxfy7ey8g373nq3s4cks,70253,cGlpLXRva2VuLUNVU1QtNjQzMzQtOTU1NQ==
CUST-81223,Customer4515 TestUser,user1967@example.com,4917874338330260,2030-06,$2b$12$bxq6alx8ckud1aqau7keaimjbz7l63z0zgg9lpyzm6dg5mbiuwo7v,86872,cGlpLXRva2VuLUNVU1QtODEyMjMtNDkxNw==
CUST-24753,Customer6630 TestUser,user2683@example.com,8964362547384154,2030-01,$2b$12$2skkqa8iaigesvtr6klsbkixn2vtmwmw5n4vrd6raxwqrkml90e8o,89065,cGlpLXRva2VuLUNVU1QtMjQ3NTMtODk2NA==
CUST-10474,Customer5022 TestUser,user1575@example.com,4117484637488256,2027-04,$2b$12$y0b33i5yy9bk6gsqlx11g7xqrb32csqimdyr66b3rj0gstk47u42c,10488,cGlpLXRva2VuLUNVU1QtMTA0NzQtNDExNw==
CUST-30182,Customer5425 TestUser,user8981@example.com,8231726861802153,2026-01,$2b$12$s9iu1h34rai3l73nsxhsi9jrotme71n8oj7eg5h8vhwkuvkpwo2m2,62155,cGlpLXRva2VuLUNVU1QtMzAxODItODIzMQ==
CUST-75964,Customer6167 TestUser,user4297@example.com,0459074490615190,2030-04,$2b$12$o6t7vzb7fn52mr0z37v3hj2h1r00qovls62eoykjzxbutkurimrea,69100,cGlpLXRva2VuLUNVU1QtNzU5NjQtMDQ1OQ==
CUST-93342,Customer1945 TestUser,user9316@example.com,1933912866543445,2028-10,$2b$12$7486gewsyadukyixmjhdgt42xjieczb5n6v8hu2t46o4n4r2sq7xi,54520,cGlpLXRva2VuLUNVU1QtOTMzNDItMTkzMw==
CUST-20951,Customer4391 TestUser,user3419@example.com,1802925654998241,2026-03,$2b$12$rpum2pxbl0sbtkfuiknkf8mpu4x3nmvx6tdixf1yt75q2lnr3kp5d,23395,cGlpLXRva2VuLUNVU1QtMjA5NTEtMTgwMg==
CUST-34091,Customer3561 TestUser,user9144@example.com,7654005906089050,2026-07,$2b$12$4e5p3eou1mql7i7c9sywmh4qg61gox6msnsl8adpt53m72qyjk1cl,44928,cGlpLXRva2VuLUNVU1QtMzQwOTEtNzY1NA==
CUST-95472,Customer2375 TestUser,user1700@example.com,0605210389264543,2027-12,$2b$12$0b5g89wnj0am3k9q7xy0npjwyj54aq3hkoq214l843f9b8fug73vr,16425,cGlpLXRva2VuLUNVU1QtOTU0NzItMDYwNQ==
CUST-33671,Customer1064 TestUser,user3384@example.com,8473819834488678,2026-05,$2b$12$tocc1p0xuy753zq4gtanjp1x4ewedvklj23klvnw38ys3s6c82c0a,25347,cGlpLXRva2VuLUNVU1QtMzM2NzEtODQ3Mw==
CUST-95755,Customer9210 TestUser,user9238@example.com,6842477989355970,2030-03,$2b$12$qj4a40i3lzq4k6drjxxi8er1w5055owhvh2h3453vnmf9ijf5ei50,80072,cGlpLXRva2VuLUNVU1QtOTU3NTUtNjg0Mg==
CUST-81345,Customer8993 TestUser,user2345@example.com,5666841487973687,2029-09,$2b$12$6wgxfo465a6saho5g20xpnvbkad6gzgu3fh94ckx2ue69h78h050s,82810,cGlpLXRva2VuLUNVU1QtODEzNDUtNTY2Ng==
CUST-98433,Customer7566 TestUser,user4064@example.com,6961763582864336,2029-07,$2b$12$nc2cairch4kxv70ajiesnisxbh72a6cpb3bmxrdu40o6zouuijmuy,56923,cGlpLXRva2VuLUNVU1QtOTg0MzMtNjk2MQ==
CUST-24112,Customer3762 TestUser,user2586@example.com,0654464957733831,2027-04,$2b$12$q4t7c7gl0rl8mtpq2w7kfa4mw67z8qg8js335dtgnydry4w0e6be9,73783,cGlpLXRva2VuLUNVU1QtMjQxMTItMDY1NA==
CUST-87279,Customer7077 TestUser,user1545@example.com,8811255845908030,2030-04,$2b$12$eil8as7crb1934s425it5w8f1q0fgjm7adsi4yrnj43w5k667541w,26401,cGlpLXRva2VuLUNVU1QtODcyNzktODgxMQ==
CUST-17205,Customer4648 TestUser,user4277@example.com,5022536736467525,2030-05,$2b$12$kj7yv0qozn984ieq879ie5j1vtp4pjiiwj5c8jayoatw2vo6wg8l2,50197,cGlpLXRva2VuLUNVU1QtMTcyMDUtNTAyMg==
CUST-87606,Customer7866 TestUser,user9824@example.com,3275323256543165,2030-05,$2b$12$2y8c9b3rjz6liarrpquvms09g9cfw9uh0lftnuyxv1ew708hoontt,74882,cGlpLXRva2VuLUNVU1QtODc2MDYtMzI3NQ==
CUST-21188,Customer2071 TestUser,user3339@example.com,5161500945411261,2030-06,$2b$12$syvaottkvwsksshb2rzlld3ug1wm1y9sbzs81s1vgwm72eimfoere,65501,cGlpLXRva2VuLUNVU1QtMjExODgtNTE2MQ==
CUST-98586,Customer4760 TestUser,user2334@example.com,9881464666167472,2026-11,$2b$12$hmckpusbxbiztbujw70e09hxtcyu4x6m2prbsf32r3m1mblactf7m,84396,cGlpLXRva2VuLUNVU1QtOTg1ODYtOTg4MQ==
CUST-83754,Customer2697 TestUser,user5838@example.com,6446836517629585,2030-10,$2b$12$e1giz9oft52oorxf96jqznbh3icpn5lrpvy6swfw88lny7jvr9i2l,25819,cGlpLXRva2VuLUNVU1QtODM3NTQtNjQ0Ng==
CUST-59723,Customer1351 TestUser,user1365@example.com,9259175211053272,2030-03,$2b$12$0niy7hmvis2y1r5ubw5r27soxo16lve9u73uxe1y0cuk6r4negnyl,57223,cGlpLXRva2VuLUNVU1QtNTk3MjMtOTI1OQ==
CUST-99291,Priya Mehta,pmehta@personalmail.example,4111111111111234,2027-09,$2b$12$xKpLm9rQWvZuNtSaBeCdEf.hash_placeholder_not_real,78701,cGlpLXRva2VuLVByaXlhIE1laHRhLTQxMTE=
