order_id,order_date,customer_name,amount_usd,status,payment_method,customer_ip,fraud_score_at_purchase,card_bin_masked,billing_country,carrier,delivery_status
NW-2026-02-F577,2026-02-22,Customer-6202,461.28,cancelled,mastercard,37.112.201.69,FRAUD-SCORE-0.363,5200828282828210,US,FedEx,in_transit
NW-2026-02-H766,2026-02-15,Customer-1663,409.56,cancelled,visa,207.58.249.67,FRAUD-SCORE-0.324,4111111111111111,GB,FedEx,lost
NW-2026-02-J892,2026-02-24,Customer-8872,139.98,completed,amex,220.162.158.137,FRAUD-SCORE-0.493,5200828282828210,CA,FedEx,in_transit
NW-2026-02-K243,2026-02-17,Customer-6637,334.88,disputed,amex,232.70.172.25,FRAUD-SCORE-0.129,5200828282828210,DE,DHL,lost
NW-2026-02-D561,2026-02-10,Customer-4469,209.28,refunded,paypal,250.93.147.189,FRAUD-SCORE-0.387,5200828282828210,GB,UPS,in_transit
NW-2026-02-J881,2026-02-07,Customer-8884,211.51,completed,mastercard,15.142.169.97,FRAUD-SCORE-0.513,4111111111111111,CA,USPS,in_transit
NW-2026-02-D811,2026-02-17,Customer-4567,329.41,refunded,amex,195.130.142.166,FRAUD-SCORE-0.458,4111111111111111,AU,UPS,lost
NW-2026-02-I903,2026-02-01,Customer-9756,390.46,completed,paypal,204.164.14.129,FRAUD-SCORE-0.343,4000000000000000,DE,FedEx,returned
NW-2026-02-F697,2026-02-17,Customer-3346,330.76,disputed,paypal,51.78.29.27,FRAUD-SCORE-0.615,5200828282828210,CA,USPS,lost
NW-2026-02-G216,2026-02-22,Customer-1183,120.25,cancelled,visa,123.143.205.0,FRAUD-SCORE-0.464,4111111111111111,GB,USPS,delivered
NW-2026-02-A653,2026-02-13,Customer-2847,479.55,refunded,paypal,239.75.162.183,FRAUD-SCORE-0.316,5200828282828210,CA,UPS,returned
NW-2026-02-J864,2026-02-24,Customer-6614,251.20,completed,paypal,173.108.191.67,FRAUD-SCORE-0.534,5200828282828210,CA,FedEx,returned
NW-2026-02-I309,2026-02-22,Customer-4852,105.28,disputed,paypal,187.155.254.228,FRAUD-SCORE-0.730,4111111111111111,AU,UPS,lost
NW-2026-02-K644,2026-02-01,Customer-7611,87.59,refunded,paypal,109.95.143.140,FRAUD-SCORE-0.275,4000000000000000,CA,USPS,in_transit
NW-2026-02-A555,2026-02-16,Customer-7547,70.99,cancelled,mastercard,141.60.82.107,FRAUD-SCORE-0.241,5200828282828210,US,USPS,delivered
NW-2026-02-K985,2026-02-26,Customer-5734,144.94,completed,mastercard,29.225.137.204,FRAUD-SCORE-0.471,5200828282828210,AU,USPS,delivered
NW-2026-02-D868,2026-02-23,Customer-1255,280.78,completed,paypal,58.65.76.133,FRAUD-SCORE-0.692,4111111111111111,CA,DHL,delivered
NW-2026-02-I406,2026-02-26,Customer-9335,93.20,refunded,amex,142.112.209.63,FRAUD-SCORE-0.334,4111111111111111,DE,USPS,lost
NW-2026-02-J253,2026-02-18,Customer-4097,256.30,disputed,paypal,148.222.96.122,FRAUD-SCORE-0.861,4000000000000000,CA,FedEx,returned
NW-2026-02-E813,2026-02-19,Customer-9334,403.53,refunded,amex,20.75.5.230,FRAUD-SCORE-0.357,4111111111111111,AU,FedEx,in_transit
NW-2026-02-D574,2026-02-10,Customer-7486,33.81,refunded,paypal,78.184.8.129,FRAUD-SCORE-0.713,4111111111111111,US,UPS,delivered
NW-2026-02-J201,2026-02-03,Customer-3491,109.48,disputed,visa,37.108.26.79,FRAUD-SCORE-0.810,5200828282828210,US,USPS,lost
NW-2026-02-D400,2026-02-09,Customer-8447,447.30,completed,visa,232.109.232.35,FRAUD-SCORE-0.641,5200828282828210,DE,USPS,lost
NW-2026-02-E804,2026-02-17,Customer-4188,375.85,disputed,visa,170.52.81.43,FRAUD-SCORE-0.893,4111111111111111,DE,USPS,delivered
NW-2026-02-F140,2026-02-04,Customer-9844,140.12,refunded,amex,156.250.113.64,FRAUD-SCORE-0.498,5200828282828210,GB,USPS,in_transit
NW-2026-02-K367,2026-02-09,Customer-2012,48.61,refunded,visa,54.169.154.102,FRAUD-SCORE-0.642,4000000000000000,GB,USPS,in_transit
NW-2026-02-E303,2026-02-05,Customer-5438,330.38,completed,mastercard,100.144.34.71,FRAUD-SCORE-0.726,4111111111111111,GB,FedEx,lost
NW-2026-02-I828,2026-02-02,Customer-6106,40.60,cancelled,amex,125.134.27.57,FRAUD-SCORE-0.181,4111111111111111,US,FedEx,in_transit
NW-2026-02-A419,2026-02-13,Customer-3180,231.46,cancelled,amex,202.187.6.95,FRAUD-SCORE-0.848,5200828282828210,AU,DHL,in_transit
NW-2026-02-D401,2026-02-22,Customer-9109,108.23,completed,mastercard,204.125.80.35,FRAUD-SCORE-0.326,4111111111111111,CA,UPS,lost
NW-2026-02-J199,2026-02-01,Customer-9022,328.60,cancelled,visa,137.237.7.207,FRAUD-SCORE-0.895,4000000000000000,AU,FedEx,returned
NW-2026-02-G598,2026-02-26,Customer-1074,148.04,completed,mastercard,111.134.2.117,FRAUD-SCORE-0.277,5200828282828210,DE,DHL,delivered
NW-2026-02-C410,2026-02-11,Customer-5306,204.72,cancelled,visa,56.1.108.169,FRAUD-SCORE-0.148,4000000000000000,AU,FedEx,in_transit
NW-2026-02-E694,2026-02-17,Customer-2147,148.09,refunded,paypal,193.254.17.173,FRAUD-SCORE-0.347,4111111111111111,CA,UPS,in_transit
NW-2026-02-B832,2026-02-19,Customer-5259,436.14,cancelled,paypal,100.219.162.28,FRAUD-SCORE-0.452,5200828282828210,DE,USPS,returned
NW-2026-02-C982,2026-02-12,Customer-3610,216.88,refunded,amex,78.181.19.108,FRAUD-SCORE-0.233,4111111111111111,US,FedEx,delivered
NW-2026-02-F838,2026-02-11,Customer-5738,355.89,refunded,paypal,200.155.96.190,FRAUD-SCORE-0.476,4000000000000000,US,USPS,lost
NW-2026-02-B729,2026-02-03,Customer-9898,159.35,completed,paypal,239.13.16.67,FRAUD-SCORE-0.636,4111111111111111,GB,UPS,delivered
NW-2026-02-A534,2026-02-22,Customer-3412,232.76,completed,visa,144.80.6.65,FRAUD-SCORE-0.131,5200828282828210,US,FedEx,in_transit
NW-2026-02-E255,2026-02-05,Customer-5904,430.25,refunded,mastercard,167.218.76.244,FRAUD-SCORE-0.159,5200828282828210,CA,FedEx,lost
NW-2026-02-J622,2026-02-08,Customer-3861,241.29,disputed,paypal,3.83.57.90,FRAUD-SCORE-0.726,5200828282828210,AU,UPS,returned
NW-2026-02-F463,2026-02-15,Customer-7056,61.18,disputed,amex,73.126.66.61,FRAUD-SCORE-0.753,4111111111111111,CA,USPS,lost
NW-2026-02-F309,2026-02-19,Customer-2450,114.64,refunded,visa,156.145.175.57,FRAUD-SCORE-0.138,5200828282828210,US,USPS,lost
NW-2026-02-J709,2026-02-25,Customer-7648,424.27,cancelled,visa,217.85.108.135,FRAUD-SCORE-0.439,4000000000000000,DE,DHL,lost
