email,first_name,last_name,company,segment
customer0@example.com,Pat0,Riley0,Acme0 Co,mid-market
customer1@example.com,Pat1,Riley1,Acme1 Co,mid-market
customer2@example.com,Pat2,Riley2,Acme2 Co,mid-market
customer3@example.com,Pat3,Riley3,Acme3 Co,mid-market
customer4@example.com,Pat4,Riley4,Acme4 Co,mid-market
customer5@example.com,Pat5,Riley5,Acme5 Co,mid-market
customer6@example.com,Pat6,Riley6,Acme6 Co,mid-market
customer7@example.com,Pat7,Riley7,Acme7 Co,mid-market
customer8@example.com,Pat8,Riley8,Acme8 Co,mid-market
customer9@example.com,Pat9,Riley9,Acme9 Co,mid-market
customer10@example.com,Pat10,Riley10,Acme10 Co,mid-market
customer11@example.com,Pat11,Riley11,Acme11 Co,mid-market
customer12@example.com,Pat12,Riley12,Acme12 Co,mid-market
customer13@example.com,Pat13,Riley13,Acme13 Co,mid-market
customer14@example.com,Pat14,Riley14,Acme14 Co,mid-market
customer15@example.com,Pat15,Riley15,Acme15 Co,mid-market
customer16@example.com,Pat16,Riley16,Acme16 Co,mid-market
customer17@example.com,Pat17,Riley17,Acme17 Co,mid-market
customer18@example.com,Pat18,Riley18,Acme18 Co,mid-market
customer19@example.com,Pat19,Riley19,Acme19 Co,mid-market
customer20@example.com,Pat20,Riley20,Acme20 Co,mid-market
customer21@example.com,Pat21,Riley21,Acme21 Co,mid-market
customer22@example.com,Pat22,Riley22,Acme22 Co,mid-market
customer23@example.com,Pat23,Riley23,Acme23 Co,mid-market
customer24@example.com,Pat24,Riley24,Acme24 Co,mid-market
customer25@example.com,Pat25,Riley25,Acme25 Co,mid-market
customer26@example.com,Pat26,Riley26,Acme26 Co,mid-market
customer27@example.com,Pat27,Riley27,Acme27 Co,mid-market
customer28@example.com,Pat28,Riley28,Acme28 Co,mid-market
customer29@example.com,Pat29,Riley29,Acme29 Co,mid-market
customer30@example.com,Pat30,Riley30,Acme30 Co,mid-market
customer31@example.com,Pat31,Riley31,Acme31 Co,mid-market
customer32@example.com,Pat32,Riley32,Acme32 Co,mid-market
customer33@example.com,Pat33,Riley33,Acme33 Co,mid-market
customer34@example.com,Pat34,Riley34,Acme34 Co,mid-market
customer35@example.com,Pat35,Riley35,Acme35 Co,mid-market
customer36@example.com,Pat36,Riley36,Acme36 Co,mid-market
customer37@example.com,Pat37,Riley37,Acme37 Co,mid-market
customer38@example.com,Pat38,Riley38,Acme38 Co,mid-market
customer39@example.com,Pat39,Riley39,Acme39 Co,mid-market
