customer_id,name,email,phone,dob,ssn_hash,account_tier
CUS000001,Customer Name 1,user1@example.com,+1-555-0001,1981-02-02,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000002,Customer Name 2,user2@example.com,+1-555-0002,1982-03-03,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000003,Customer Name 3,user3@example.com,+1-555-0003,1983-04-04,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000004,Customer Name 4,user4@example.com,+1-555-0004,1984-05-05,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000005,Customer Name 5,user5@example.com,+1-555-0005,1985-06-06,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000006,Customer Name 6,user6@example.com,+1-555-0006,1986-07-07,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000007,Customer Name 7,user7@example.com,+1-555-0007,1987-08-08,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000008,Customer Name 8,user8@example.com,+1-555-0008,1988-09-09,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000009,Customer Name 9,user9@example.com,+1-555-0009,1989-10-10,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000010,Customer Name 10,user10@example.com,+1-555-0010,1990-11-11,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000011,Customer Name 11,user11@example.com,+1-555-0011,1991-12-12,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000012,Customer Name 12,user12@example.com,+1-555-0012,1992-01-13,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000013,Customer Name 13,user13@example.com,+1-555-0013,1993-02-14,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000014,Customer Name 14,user14@example.com,+1-555-0014,1994-03-15,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000015,Customer Name 15,user15@example.com,+1-555-0015,1995-04-16,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000016,Customer Name 16,user16@example.com,+1-555-0016,1996-05-17,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000017,Customer Name 17,user17@example.com,+1-555-0017,1997-06-18,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000018,Customer Name 18,user18@example.com,+1-555-0018,1998-07-19,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000019,Customer Name 19,user19@example.com,+1-555-0019,1999-08-20,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000020,Customer Name 20,user20@example.com,+1-555-0020,2000-09-21,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000021,Customer Name 21,user21@example.com,+1-555-0021,2001-10-22,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000022,Customer Name 22,user22@example.com,+1-555-0022,2002-11-23,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000023,Customer Name 23,user23@example.com,+1-555-0023,2003-12-24,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000024,Customer Name 24,user24@example.com,+1-555-0024,2004-01-25,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000025,Customer Name 25,user25@example.com,+1-555-0025,2005-02-26,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000026,Customer Name 26,user26@example.com,+1-555-0026,2006-03-27,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000027,Customer Name 27,user27@example.com,+1-555-0027,2007-04-28,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000028,Customer Name 28,user28@example.com,+1-555-0028,2008-05-01,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000029,Customer Name 29,user29@example.com,+1-555-0029,2009-06-02,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000030,Customer Name 30,user30@example.com,+1-555-0030,2010-07-03,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000031,Customer Name 31,user31@example.com,+1-555-0031,2011-08-04,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000032,Customer Name 32,user32@example.com,+1-555-0032,2012-09-05,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000033,Customer Name 33,user33@example.com,+1-555-0033,2013-10-06,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000034,Customer Name 34,user34@example.com,+1-555-0034,2014-11-07,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000035,Customer Name 35,user35@example.com,+1-555-0035,2015-12-08,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000036,Customer Name 36,user36@example.com,+1-555-0036,2016-01-09,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000037,Customer Name 37,user37@example.com,+1-555-0037,2017-02-10,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000038,Customer Name 38,user38@example.com,+1-555-0038,2018-03-11,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000039,Customer Name 39,user39@example.com,+1-555-0039,2019-04-12,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000040,Customer Name 40,user40@example.com,+1-555-0040,1980-05-13,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000041,Customer Name 41,user41@example.com,+1-555-0041,1981-06-14,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000042,Customer Name 42,user42@example.com,+1-555-0042,1982-07-15,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000043,Customer Name 43,user43@example.com,+1-555-0043,1983-08-16,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000044,Customer Name 44,user44@example.com,+1-555-0044,1984-09-17,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000045,Customer Name 45,user45@example.com,+1-555-0045,1985-10-18,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000046,Customer Name 46,user46@example.com,+1-555-0046,1986-11-19,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000047,Customer Name 47,user47@example.com,+1-555-0047,1987-12-20,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000048,Customer Name 48,user48@example.com,+1-555-0048,1988-01-21,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000049,Customer Name 49,user49@example.com,+1-555-0049,1989-02-22,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000050,Customer Name 50,user50@example.com,+1-555-0050,1990-03-23,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000051,Customer Name 51,user51@example.com,+1-555-0051,1991-04-24,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000052,Customer Name 52,user52@example.com,+1-555-0052,1992-05-25,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000053,Customer Name 53,user53@example.com,+1-555-0053,1993-06-26,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000054,Customer Name 54,user54@example.com,+1-555-0054,1994-07-27,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000055,Customer Name 55,user55@example.com,+1-555-0055,1995-08-28,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000056,Customer Name 56,user56@example.com,+1-555-0056,1996-09-01,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000057,Customer Name 57,user57@example.com,+1-555-0057,1997-10-02,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
CUS000058,Customer Name 58,user58@example.com,+1-555-0058,1998-11-03,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000059,Customer Name 59,user59@example.com,+1-555-0059,1999-12-04,a1b2c3d4e5f6a1b2c3d4e5f6,STANDARD
CUS000060,Customer Name 60,user60@example.com,+1-555-0060,2000-01-05,a1b2c3d4e5f6a1b2c3d4e5f6,PREMIUM
