nurse_id,name,license_type,unit,fte,is_charge_nurse
RN-ICU-001,Sarah Mitchell,RN,ICU,1.0,False
RN-ICU-002,James Park,RN,ICU,1.0,False
RN-ICU-003,Maria Gonzalez,RN,ICU,1.0,True
RN-ICU-004,Kevin Walsh,RN,ICU,1.0,False
RN-ICU-005,Angela Reyes,RN,ICU,0.9,False
RN-ICU-006,Thomas Chen,RN,ICU,1.0,False
RN-ICU-007,Priya Sharma,RN,ICU,1.0,False
RN-ICU-008,David Okonkwo,RN,ICU,0.8,False
RN-ICU-T01,Jessica Brooks,RN,ICU,1.0,False
RN-ICU-T02,Ryan Martinez,RN,ICU,1.0,False
RN-MS-001,Patricia Lowe,RN,Med/Surg,1.0,True
RN-MS-002,Donna Carter,RN,Med/Surg,1.0,False
RN-MS-003,Robert Kim,LVN,Med/Surg,1.0,False
RN-MS-004,Susan Walsh,RN,Med/Surg,1.0,False
RN-MS-005,Michael Brown,RN,Med/Surg,0.9,False
RN-MS-006,Lisa Nguyen,RN,Med/Surg,1.0,False
RN-MS-007,Carlos Ruiz,LVN,Med/Surg,1.0,False
RN-MS-008,Tamara Jackson,RN,Med/Surg,1.0,False
RN-MS-009,Wei Zhang,RN,Med/Surg,0.8,False
RN-MS-010,Helen Foster,RN,Med/Surg,1.0,False
RN-MS-011,George Thompson,RN,Med/Surg,1.0,False
RN-MS-012,Nancy Liu,RN,Med/Surg,0.9,False
RN-SD-001,Frank Morrison,RN,Step-Down,1.0,True
RN-SD-002,Cindy Lee,RN,Step-Down,1.0,False
RN-SD-003,Barry White,RN,Step-Down,1.0,False
RN-SD-004,Alma Cruz,RN,Step-Down,1.0,False
RN-SD-005,Phil Owens,RN,Step-Down,0.9,False
RN-SD-006,Dana Ross,RN,Step-Down,1.0,False
RN-SD-007,Troy Watts,RN,Step-Down,1.0,False
RN-SD-008,Iris Bell,RN,Step-Down,1.0,False
RN-TEL-001,Vera Torres,RN,Telemetry,1.0,True
RN-TEL-002,Sam Holt,RN,Telemetry,1.0,False
RN-TEL-003,Gina Evans,RN,Telemetry,1.0,False
RN-TEL-004,Nick Cooper,RN,Telemetry,0.9,False
RN-TEL-005,Lily Chang,RN,Telemetry,1.0,False
RN-TEL-006,Omar Hassan,RN,Telemetry,1.0,False
RN-TEL-007,Fran Murphy,RN,Telemetry,1.0,False
RN-TEL-008,Aaron Scott,RN,Telemetry,0.8,False
RN-TEL-009,Beth Flores,RN,Telemetry,1.0,False
RN-TEL-010,Don Gibson,RN,Telemetry,1.0,False
RN-ED-001,Jack Stone,RN,ED,1.0,True
RN-ED-002,Cath Dennis,RN,ED,1.0,False
RN-ED-003,Mike Chan,RN,ED,1.0,False
RN-ED-004,Rosa Diaz,RN,ED,1.0,False
RN-ED-005,Al Newton,RN,ED,0.9,False
RN-ED-006,Lena Fox,LVN,ED,1.0,False
RN-PSY-001,Ben Cole,RN,Psychiatric,1.0,True
RN-PSY-002,Amy West,RN,Psychiatric,1.0,False
RN-PSY-003,Raj Patel,PT,Psychiatric,1.0,False
RN-PSY-004,Nina Green,RN,Psychiatric,1.0,False
RN-PSY-005,Leo Burns,LVN,Psychiatric,1.0,False
