shift_id,date,shift,unit,nurse_id,nurse_name,license_type,is_charge_nurse,nurses_on_duty_total,unit_patient_count,nurse_patient_assignment,ratio_as_recorded,charge_nurse_included_error,is_shift_violation,legal_max_ratio,notes
SH-1001,2024-07-01,Day (07:00-19:00),ICU,RN-ICU-001,Sarah Mitchell,RN,False,5,7,1.4,1.4,False,False,2,
SH-1001,2024-07-01,Day (07:00-19:00),ICU,RN-ICU-002,James Park,RN,False,5,7,1.4,1.4,False,False,2,
SH-1001,2024-07-01,Day (07:00-19:00),ICU,RN-ICU-004,Kevin Walsh,RN,False,5,7,1.4,1.4,False,False,2,
SH-1001,2024-07-01,Day (07:00-19:00),ICU,RN-ICU-005,Angela Reyes,RN,False,5,7,1.4,1.4,False,False,2,
SH-1001,2024-07-01,Day (07:00-19:00),ICU,RN-ICU-006,Thomas Chen,RN,False,5,7,1.4,1.4,False,False,2,
SH-1002,2024-07-01,Day (07:00-19:00),Med/Surg,RN-MS-002,Donna Carter,RN,False,6,29,4.83,4.83,False,False,5,
SH-1002,2024-07-01,Day (07:00-19:00),Med/Surg,RN-MS-003,Robert Kim,LVN,False,6,29,4.83,4.83,False,False,5,
SH-1002,2024-07-01,Day (07:00-19:00),Med/Surg,RN-MS-004,Susan Walsh,RN,False,6,29,4.83,4.83,False,False,5,
SH-1002,2024-07-01,Day (07:00-19:00),Med/Surg,RN-MS-005,Michael Brown,RN,False,6,29,4.83,4.83,False,False,5,
SH-1002,2024-07-01,Day (07:00-19:00),Med/Surg,RN-MS-006,Lisa Nguyen,RN,False,6,29,4.83,4.83,False,False,5,
SH-1002,2024-07-01,Day (07:00-19:00),Med/Surg,RN-MS-007,Carlos Ruiz,LVN,False,6,29,4.83,4.83,False,False,5,
SH-1003,2024-07-01,Day (07:00-19:00),Step-Down,RN-SD-002,Cindy Lee,RN,False,3,6,2,2.0,False,False,3,
SH-1003,2024-07-01,Day (07:00-19:00),Step-Down,RN-SD-003,Barry White,RN,False,3,6,2,2.0,False,False,3,
SH-1003,2024-07-01,Day (07:00-19:00),Step-Down,RN-SD-004,Alma Cruz,RN,False,3,6,2,2.0,False,False,3,
SH-1004,2024-07-01,Day (07:00-19:00),Telemetry,RN-TEL-002,Sam Holt,RN,False,4,13,3.25,3.25,False,False,4,
SH-1004,2024-07-01,Day (07:00-19:00),Telemetry,RN-TEL-003,Gina Evans,RN,False,4,13,3.25,3.25,False,False,4,
SH-1004,2024-07-01,Day (07:00-19:00),Telemetry,RN-TEL-004,Nick Cooper,RN,False,4,13,3.25,3.25,False,False,4,
SH-1004,2024-07-01,Day (07:00-19:00),Telemetry,RN-TEL-005,Lily Chang,RN,False,4,13,3.25,3.25,False,False,4,
SH-1005,2024-07-01,Day (07:00-19:00),ED,RN-ED-002,Cath Dennis,RN,False,3,9,3,3.0,False,False,4,
SH-1005,2024-07-01,Day (07:00-19:00),ED,RN-ED-003,Mike Chan,RN,False,3,9,3,3.0,False,False,4,
SH-1005,2024-07-01,Day (07:00-19:00),ED,RN-ED-004,Rosa Diaz,RN,False,3,9,3,3.0,False,False,4,
SH-1006,2024-07-01,Day (07:00-19:00),Psychiatric,RN-PSY-002,Amy West,RN,False,2,10,5,5.0,False,False,6,
SH-1006,2024-07-01,Day (07:00-19:00),Psychiatric,RN-PSY-003,Raj Patel,PT,False,2,10,5,5.0,False,False,6,
SH-1007,2024-07-01,Night (19:00-07:00),ICU,RN-ICU-001,Sarah Mitchell,RN,False,4,7,1.75,1.75,False,False,2,
SH-1007,2024-07-01,Night (19:00-07:00),ICU,RN-ICU-002,James Park,RN,False,4,7,1.75,1.75,False,False,2,
SH-1007,2024-07-01,Night (19:00-07:00),ICU,RN-ICU-004,Kevin Walsh,RN,False,4,7,1.75,1.75,False,False,2,
SH-1007,2024-07-01,Night (19:00-07:00),ICU,RN-ICU-005,Angela Reyes,RN,False,4,7,1.75,1.75,False,False,2,
SH-1008,2024-07-01,Night (19:00-07:00),Med/Surg,RN-MS-002,Donna Carter,RN,False,6,29,4.83,4.83,False,False,5,
SH-1008,2024-07-01,Night (19:00-07:00),Med/Surg,RN-MS-003,Robert Kim,LVN,False,6,29,4.83,4.83,False,False,5,
